,index,Company,Specific Bean Origin,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin,price(100g)
0,26,Adi,"Vanua Levu, Toto-A",2011,80.0,Fiji,65.0,Trinitario,Fiji,143000.0
1,27,Adi,Vanua Levu,2011,88.0,Fiji,70.0,Trinitario,Fiji,169400.0
2,28,Adi,"Vanua Levu, Ami-Ami-CA",2011,72.0,Fiji,70.0,Trinitario,Fiji,138600.0
3,32,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",2011,75.0,Switzerland,75.0,Trinitario,Indonesia,154687.5
4,33,Akesson's (Pralus),"Madagascar, Ambolikapiky P.",2010,75.0,Switzerland,55.0,Criollo,Madagascar,103125.0
5,34,Akesson's (Pralus),"Monte Alegre, D. Badero",2010,75.0,Switzerland,55.0,Forastero,Brazil,103125.0
6,36,Alain Ducasse,Vietnam,2014,75.0,France,55.0,Trinitario,Vietnam,113437.50000000001
7,37,Alain Ducasse,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
8,38,Alain Ducasse,Chuao,2013,75.0,France,50.0,Trinitario,Venezuela,103125.00000000001
9,39,Alain Ducasse,"Piura, Perou",2013,75.0,France,50.0,Blend,Peru,93750.0
10,51,Altus aka Cao Artisan,Bolivia,2013,80.0,U.S.A.,65.0,Blend,Bolivia,130000.0
11,65,Amatller (Simon Coll),Ecuador,2009,85.0,Spain,55.0,Blend,Ecuador,116875.0
12,66,Amatller (Simon Coll),Ghana,2009,85.0,Spain,60.0,Forastero,Ghana,127500.0
13,67,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",2013,72.0,Peru,65.0,Blend,Peru,117000.0
14,68,Amazona,"Bellavista Gran Pajeten, San Martin",2013,73.0,Peru,70.0,Trinitario,Peru,140525.0
15,71,Ambrosia,Dominican Republic,2015,75.0,Canada,65.0,Blend,Dominican Republic,121875.0
16,77,Amedei,Nine,2007,75.0,Italy,80.0,Blend,Other,150000.0
17,88,AMMA,Catongo,2013,75.0,Brazil,65.0,Forastero (Catongo),Brazil,121875.0
18,89,AMMA,"Monte Alegre, 3 diff. plantations",2010,85.0,Brazil,55.0,Forastero (Parazinho),Brazil,116875.0
19,91,AMMA,"Monte Alegre, 3 diff. plantations",2010,75.0,Brazil,75.0,Forastero (Parazinho),Brazil,140625.0
20,93,Anahata,Elvesia,2014,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
21,94,Animas,Alto Beni,2016,75.0,U.S.A.,70.0,Blend,Bolivia,131250.0
22,95,Ara,Madagascar,2014,75.0,France,60.0,Trinitario,Madagascar,123750.00000000001
23,96,Ara,Chiapas,2014,72.0,France,50.0,Blend,Mexico,90000.0
24,97,Ara,Equateur,2014,75.0,France,55.0,Blend,Ecuador,103125.0
25,98,Ara,Trincheras,2014,75.0,France,60.0,Blend,Venezuela,112500.0
26,101,Arete,Tien Giang,2016,73.0,U.S.A.,70.0,Trinitario,Vietnam,140525.0
27,111,Arete,Lam Dong,2016,73.0,U.S.A.,65.0,Blend,Vietnam,118625.0
28,118,Arete,Fazenda Camboa,2015,75.0,U.S.A.,55.0,Blend,Brazil,103125.0
29,120,Arete,Camino Verde,2015,75.0,U.S.A.,70.0,Blend,Ecuador,131250.0
30,121,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72.0,U.K.,65.0,Trinitario,Trinidad,128700.00000000001
31,122,Artisan du Chocolat,"Colombia, Casa Luker",2012,72.0,U.K.,75.0,Blend,Colombia,135000.0
32,123,Artisan du Chocolat,Haiti,2011,72.0,U.K.,80.0,Blend,Haiti,144000.0
33,124,Artisan du Chocolat,Panama,2011,72.0,U.K.,55.0,Blend,Panama,99000.0
34,125,Artisan du Chocolat,Venezuela,2010,100.0,U.K.,35.0,Blend,Venezuela,87500.0
35,126,Artisan du Chocolat,Jamaica,2010,72.0,U.K.,75.0,Trinitario,Jamaica,148500.0
36,127,Artisan du Chocolat,Costa Rica,2010,72.0,U.K.,65.0,Blend,Costa Rica,117000.0
37,128,Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72.0,U.K.,65.0,Trinitario,Vietnam,128700.00000000001
38,129,Artisan du Chocolat,Bali,2010,72.0,U.K.,70.0,Blend,Indonesia,126000.0
39,130,Artisan du Chocolat,"Ocumare, Venezuela",2009,75.0,U.K.,50.0,"Criollo, Trinitario",Venezuela,103125.00000000001
40,131,Artisan du Chocolat,Java,2009,72.0,U.K.,55.0,Trinitario,Indonesia,108900.00000000001
41,132,Artisan du Chocolat,Brazil Rio Doce,2009,72.0,U.K.,35.0,Blend,Brazil,63000.0
42,133,Artisan du Chocolat,Madagascar,2009,80.0,U.K.,60.0,"Criollo, Trinitario",Madagascar,132000.0
43,134,Artisan du Chocolat,Peru,2009,75.0,U.K.,60.0,Criollo,Peru,112500.0
44,135,Artisan du Chocolat,Dominican Republic,2009,72.0,U.K.,65.0,Trinitario,Dominican Republic,128700.00000000001
45,136,Artisan du Chocolat,Congo,2008,72.0,U.K.,75.0,Forastero,Congo,135000.0
46,137,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72.0,U.K.,55.0,Trinitario,Colombia,108900.00000000001
47,139,Askinosie,"Tenende, Uwate",2011,72.0,U.S.A.,75.0,Trinitario,Tanzania,148500.0
48,141,Askinosie,Davao,2009,77.0,U.S.A.,75.0,Trinitario,Philippines,158812.5
49,142,Askinosie,Xoconusco,2007,75.0,U.S.A.,50.0,Trinitario,Mexico,103125.00000000001
50,144,Bahen & Co.,Houseblend,2015,80.0,Australia,65.0,Blend,Other,130000.0
51,156,Baravelli's,single estate,2012,80.0,Wales,55.0,Blend,Costa Rica,110000.0
52,160,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73.0,U.K.,60.0,Blend,Malaysia,109500.0
53,161,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72.0,U.K.,65.0,Blend,Malaysia,117000.0
54,162,Beehive,"Brazil, Batch 20316",2016,80.0,U.S.A.,55.0,Blend,Brazil,110000.0
55,165,Beehive,Ecuador,2016,90.0,U.S.A.,55.0,Blend,Ecuador,123750.0
56,169,Belcolade,Ecuador,2010,71.0,Belgium,70.0,Blend,Ecuador,124250.0
57,173,Belyzium,"Belize south, low fermentation",2016,83.0,Germany,55.0,Trinitario,Belize,125537.50000000001
58,174,Belyzium,Belize south,2016,78.0,Germany,60.0,Trinitario,Belize,128700.00000000001
59,175,Belyzium,Belize south,2016,83.0,Germany,70.0,Trinitario,Belize,159775.0
60,176,Benoit Nihant,Baracoa,2013,74.0,Belgium,70.0,Trinitario,Cuba,142450.0
61,177,Benoit Nihant,Chuao,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
62,178,Benoit Nihant,Cuyagua Village,2013,74.0,Belgium,70.0,Criollo,Venezuela,129500.0
63,179,Benoit Nihant,Rio Peripa H.,2013,73.0,Belgium,80.0,Trinitario,Ecuador,160600.0
64,180,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72.0,Belgium,80.0,Trinitario,Indonesia,158400.0
65,181,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72.0,Belgium,75.0,Trinitario,Madagascar,148500.0
66,184,Beschle (Felchlin),Maracaibo,2011,88.0,Switzerland,60.0,Criollo,Venezuela,132000.0
67,185,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
68,186,Beschle (Felchlin),Ecuador,2011,72.0,Switzerland,80.0,Blend,Ecuador,144000.0
69,188,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74.0,Switzerland,65.0,Criollo (Porcelana),Venezuela,120250.0
70,190,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72.0,Switzerland,70.0,Blend,Venezuela,126000.0
71,191,Bisou,"Nicaragua, American style",2015,76.0,U.S.A.,50.0,Blend,Nicaragua,95000.0
72,192,Bisou,"San Andres, American style",2015,76.0,U.S.A.,50.0,Blend,Costa Rica,95000.0
73,193,Bisou,"San Andres, silk",2015,78.0,U.S.A.,50.0,Blend,Costa Rica,97500.0
74,194,Bisou,Belize,2015,86.0,U.S.A.,65.0,Trinitario,Belize,153725.0
75,195,Bittersweet Origins,Ghana,2012,72.0,U.S.A.,70.0,Forastero,Ghana,126000.0
76,196,Bittersweet Origins,"Bali, Singaraja",2010,75.0,U.S.A.,65.0,Blend,Indonesia,121875.0
77,200,Bittersweet Origins,"Ocumare, prototype",2010,78.0,U.S.A.,60.0,Criollo,Venezuela,117000.0
78,201,Bittersweet Origins,Puerto Plata,2009,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
79,203,Bittersweet Origins,Sambirano,2009,75.0,U.S.A.,65.0,Trinitario,Madagascar,134062.5
80,205,Bittersweet Origins,Sambirano,2008,71.0,U.S.A.,60.0,Trinitario,Madagascar,117150.00000000001
81,206,Bittersweet Origins,Bocas del Toro,2008,75.0,U.S.A.,70.0,Blend,Panama,131250.0
82,213,Blanxart,"Congo, Grand Cru",2013,82.0,Spain,70.0,Forastero,Congo,143500.0
83,214,Blanxart,Organic Dark,2009,72.0,Spain,55.0,Blend,Other,99000.0
84,215,Blue Bandana,"Akesson's E., Sambirano V.",2016,82.0,U.S.A.,70.0,Trinitario,Madagascar,157850.0
85,216,Blue Bandana,Lachua,2016,75.0,U.S.A.,55.0,Blend,Guatemala,103125.0
86,217,Blue Bandana,Kokoa Kamili,2016,75.0,U.S.A.,70.0,Blend,Tanzania,131250.0
87,218,Blue Bandana,Zorzal Reserva,2016,75.0,U.S.A.,60.0,Blend,Dominican Republic,112500.0
88,221,Bonnat,Selva Maya,2016,75.0,France,70.0,Blend,Mexico,131250.0
89,222,Bonnat,Kaori,2014,75.0,France,80.0,Blend,Brazil,150000.0
90,223,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75.0,France,65.0,Blend,Dominican Republic,121875.0
91,225,Bonnat,Maragnam,2013,75.0,France,70.0,Blend,Brazil,131250.0
92,226,Bonnat,Gabon,2013,75.0,France,65.0,Blend,Gabon,121875.0
93,227,Bonnat,Cuba,2011,75.0,France,70.0,Trinitario,Cuba,144375.0
94,228,Bonnat,"Cusco, Cacao Cusco",2011,75.0,France,70.0,Blend,Peru,131250.0
95,229,Bonnat,Piura Blanco,2011,75.0,France,70.0,Forastero (Nacional),Peru,131250.0
96,230,Bonnat,Libanio,2011,75.0,France,75.0,Blend,Brazil,140625.0
97,231,Bonnat,Haiti,2011,75.0,France,80.0,Blend,Haiti,150000.0
98,232,Bonnat,"Madagascar, 100% criollo",2011,75.0,France,80.0,Criollo,Madagascar,150000.0
99,233,Bonnat,Juliana,2011,75.0,France,70.0,Blend,Brazil,131250.0
100,234,Bonnat,Jamaique,2011,75.0,France,65.0,Trinitario,Jamaica,134062.5
101,235,Bonnat,Ivory Coast,2009,75.0,France,60.0,Blend,Ivory Coast,112500.0
102,236,Bonnat,"Porcelana, Apotequil",2009,75.0,France,55.0,Criollo,Peru,103125.0
103,237,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75.0,France,60.0,Criollo,Mexico,112500.0
104,238,Bonnat,"Xoconusco, cacao Real",2009,75.0,France,60.0,Criollo,Mexico,112500.0
105,239,Bonnat,"Porcelana, Venezuela",2008,75.0,France,80.0,Criollo (Porcelana),Venezuela,150000.0
106,240,Bonnat,Equateur,2007,75.0,France,50.0,Forastero (Arriba),Ecuador,93750.0
107,241,Bonnat,Trinite,2006,75.0,France,75.0,Trinitario,Carribean,154687.5
108,242,Bonnat,"Ocumare, Puerto Cabello",2006,75.0,France,80.0,Blend,Venezuela,150000.0
109,243,Bonnat,"Maracaibo, El Rosario",2006,75.0,France,80.0,Criollo,Venezuela,150000.0
110,244,Bonnat,Madagascar,2006,75.0,France,80.0,Trinitario,Madagascar,165000.0
111,245,Bonnat,One Hundred,2006,100.0,France,30.0,Blend,Other,75000.0
112,246,Bonnat,Ceylan,2006,75.0,France,60.0,Blend,Sri Lanka,112500.0
113,247,Bonnat,Chuao,2006,75.0,France,80.0,Trinitario,Venezuela,165000.0
